record_type	record_id	stage	metric	value	unit	source_path	source_sha256	authority_version	dataset_id	species	tissue	tissue_status	label_column	cells	labeled_cells	unknown_cells	unknown_fraction	readable	panel	candidate_label_count	labels_ge_100_cells	candidate_cells	panel_status	accepted	reason	workflow_order	description
dataset	Arabidopsis thaliana_PRJNA666436	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA666436	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	18859	18859	0	0.0	True									
dataset	Arabidopsis thaliana_PRJNA678377	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA678377	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	5328	5328	0	0.0	True									
dataset	Arabidopsis thaliana_PRJNA680241	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA680241	Arabidopsis thaliana	lateral root	recorded	celltype_after	345	135	210	0.6086956521739131	True									
dataset	Arabidopsis thaliana_PRJNA703045	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA703045	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	17586	6473	11113	0.6319231206641647	True									
dataset	Arabidopsis thaliana_PRJNA716169	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA716169	Arabidopsis thaliana	not explicitly recorded in source; annotation labels include root and shoot meristem initials	recorded	celltype_after	633	419	214	0.3380726698262243	True									
dataset	Arabidopsis thaliana_PRJNA730707	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA730707	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	13384	12685	699	0.05222653915122535	True									
dataset	Arabidopsis thaliana_PRJNA742744	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA742744	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	13057	5303	7754	0.5938577008501187	True									
dataset	Arabidopsis thaliana_PRJNA745175	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA745175	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	8159	8159	0	0.0	True									
dataset	Arabidopsis thaliana_PRJNA750934	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA750934	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	17165	17165	0	0.0	True									
dataset	Arabidopsis thaliana_PRJNA754157	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA754157	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	10700	10228	472	0.04411214953271028	True									
dataset	Arabidopsis thaliana_PRJNA764868	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA764868	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	29883	23105	6778	0.22681792323394573	True									
dataset	Arabidopsis thaliana_PRJNA796288	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA796288	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	36093	23756	12337	0.34181143157953064	True									
