dataset_id	h5ad_path	readable	file_bytes	n_cells	n_genes	observed_species	proposed_species	species_status	accession	observed_tissue	proposed_tissue	tissue_status	unknown_cells	unknown_fraction	expression_class	storage_kind	expression_dtype	source_expression_path	source_annotation_path	source_expression_sha256	source_annotation_sha256	schema_version
Arabidopsis thaliana_PRJNA703045	Arabidopsis thaliana_PRJNA703045.h5ad	True	86547673	17586	22323	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA703045	not explicitly recorded		missing	11113	0.6319231206641647	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJNA703045.csv	Arabidopsis thaliana_PRJNA703045.anno.csv	68659a8eed68a6081e25b5dbeae87ede3206f19f50becaa4ce441814112df980	d3adc1221b2293332fc5cab85dba16f708da92db0bfbac05d6ed3fb3fac7d5ae	1.0.0
Arabidopsis thaliana_PRJNA716169	Arabidopsis thaliana_PRJNA716169.h5ad	True	2840201	633	2000	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA716169	not explicitly recorded in source; annotation labels include root and shoot meristem initials		recorded	214	0.3380726698262243	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA716169.csv	Arabidopsis thaliana_PRJNA716169.anno.csv	1b0eec626141ed5b4dbee6fb01616d263f0db963bbb850ab7ffb17ac590fffd5	2e9a12c6762ec579df4bf61a8e3d19f8eb339d1cf728c2bc1237593a67e5ebe5	1.0.0
Arabidopsis thaliana_PRJNA730707	Arabidopsis thaliana_PRJNA730707.h5ad	True	78297163	13384	20964	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA730707	not explicitly recorded		missing	699	0.05222653915122535	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJNA730707.csv	Arabidopsis thaliana_PRJNA730707.anno.csv	772f22a6fe02fed0d192a216a3c1bd3084de6eef7933c43031cfb33e9d284e3f	36a56938fdefe29a23a22d94005baa5b650c7ebc39b14b987d02b55d8829192a	1.0.0
Arabidopsis thaliana_PRJNA742744	Arabidopsis thaliana_PRJNA742744.h5ad	True	68924725	13057	23548	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA742744	not explicitly recorded		missing	7754	0.5938577008501187	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJNA742744.csv	Arabidopsis thaliana_PRJNA742744.anno.csv	ca0a52864bf966c883e1922fcb741ca601870657f5c0545b23dbe1cf52da7165	7901c23938e28b9c8dc37301b7f1367f06bf4a12547d385e77fe1df0bb19c9ea	1.0.0
Arabidopsis thaliana_PRJNA745175	Arabidopsis thaliana_PRJNA745175.h5ad	True	28167531	8159	2000	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA745175	not explicitly recorded		missing	0	0.0	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA745175.csv	Arabidopsis thaliana_PRJNA745175.anno.csv	f3f32a489167d720b17e95472241f1f14651c35b1e9afa92929f42965b4786ce	b74df459a9db7acfb95e629124b5e4d7ba088d9c589c21810b41eb428c283e6a	1.0.0
Arabidopsis thaliana_PRJNA750934	Arabidopsis thaliana_PRJNA750934.h5ad	True	273330580	17165	25842	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA750934	not explicitly recorded		missing	0	0.0	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJNA750934.csv	Arabidopsis thaliana_PRJNA750934.anno.csv	ac7ba3f130ade2de5c7beb39fb6a94e083d19a34b08c1243ac593b14dbb98810	b849c05f9c149fe232977ece498ef4ffa0661c8afaeade5f7af671e0fe23701c	1.0.0
Arabidopsis thaliana_PRJNA754157	Arabidopsis thaliana_PRJNA754157.h5ad	True	182669873	10700	4174	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA754157	not explicitly recorded		missing	472	0.04411214953271028	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA754157.csv	Arabidopsis thaliana_PRJNA754157.anno.csv	74f1fa59c8606e77058c864b40f3035dfb478bf07c4a7cc317150587eda9670b	21358a432bac55a1d0879deb18efbf3daeee9477145e07327d7e91cd1cdb047b	1.0.0
Arabidopsis thaliana_PRJNA764868	Arabidopsis thaliana_PRJNA764868.h5ad	True	1227250440	29883	22965	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA764868	not explicitly recorded		missing	6778	0.22681792323394573	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA764868.csv	Arabidopsis thaliana_PRJNA764868.anno.csv	8b056520e808133ea2c8b1dac973f1bf26cb339b5200416ae9c30d157ace8d3b	a901c3de1fe723662770af96900248463ce9ca3cb2f99462cf55e3335654f485	1.0.0
Arabidopsis thaliana_PRJNA796288	Arabidopsis thaliana_PRJNA796288.h5ad	True	417389743	36093	24113	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA796288	not explicitly recorded		missing	12337	0.34181143157953064	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJNA796288.csv	Arabidopsis thaliana_PRJNA796288.anno.csv	d6e3fa33290942eff33fc0c4454b61ff7c6e8d4a766a8cb601180999044ee6e4	98c98091913edba13bbd1a96783318e04025a8610b13e913ebdfed4ff71f3b43	1.0.0
Arabidopsis thaliana_PRJNA814870	Arabidopsis thaliana_PRJNA814870.h5ad	True	2617543423	149174	4317	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA814870	not explicitly recorded		missing	89230	0.5981605373590572	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA814870.csv	Arabidopsis thaliana_PRJNA814870.anno.csv	a24495ee518d8aa756c552955b17947bc23071e5b6ef91452ecc749f330e83b4	f2ff015de72bcf1560f11c313bd041bd87937e5d37eedde8ff3375b7eff99ab3	1.0.0
Arabidopsis thaliana_PRJNA835893	Arabidopsis thaliana_PRJNA835893.h5ad	True	1994517649	102921	4768	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA835893	not explicitly recorded		missing	24633	0.2393389104264436	scaled_continuous	dense	float32	Arabidopsis thaliana_PRJNA835893.csv	Arabidopsis thaliana_PRJNA835893.anno.csv	231b29f63240fb09ac4abe922977aca60403f6f5b4cc690e4b46541537a2fb29	e671b41acc49f6596435c5577a097a4b6afd6d71e4c78b24a25618780c8f86b4	1.0.0
Arabidopsis thaliana_PRJNA857332	Arabidopsis thaliana_PRJNA857332.h5ad	True	389742467	38504	23453	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJNA857332	not explicitly recorded		missing	24301	0.6311292333264077	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJNA857332.csv	Arabidopsis thaliana_PRJNA857332.anno.csv	b6916c0523be4d64472cc38920effc49854c7c383cb97ba3b92acece8945cb9d	cc7c3437c7587eff2a62bf26d69c79ff4eb84db27249f8ae572d8778adb460a8	1.0.0
